address,zip,lat_long,neighborhood,status
101 west 128th street #5c in central harlem,10027,40.809935:-73.9443947,Central Harlem,Claim
234 east seventh street #3rw in east village,10009,40.7237717:-73.9785472,Lower East Side,No Claim
231 east 29th street #15 in kips bay,10016,40.7421488:-73.97889909999999,Gramercy Park and Murray Hill,Claim
52 henry street #4rs in two bridges,10002,40.7126981:-73.9953302,Lower East Side,No Claim
325 east 54th street #2b in sutton place,10022,40.7571117:-73.96549279999999,Gramercy Park and Murray Hill,No Claim
1661 york avenue #5k in yorkville,10128,40.7769238:-73.9467848,Upper East Side,No Claim
610 west 150th street #3g in  hamilton heights,10031,40.8297834:-73.9492452,Inwood and Washington Heights,Claim
209 madison street #2b in two bridges,10002,40.7128543:-73.98941730000001,Lower East Side,Claim
106 eldridge street #14  in lower east side,10002,40.7179649:-73.9918479,Lower East Side,Claim
4580 broadway #3t in fort george,10040,40.860081:-73.93055799999999,Inwood and Washington Heights,Claim
95 elizabeth street #3cc in little italy,10013,40.7184482:-73.9959756,Greenwich Village and Soho,No Claim
532 ninth avenue #1b in  hudson yards,10018,None,Chelsea and Clinton,Claim
416 west 25th street #1w in west chelsea,10001,40.7479947:-74.00145429999999,Chelsea and Clinton,No Claim
117 south fourth street #3r in williamsburg,11206,40.712363:-73.9633059,Bushwick and Williamsburg,No Claim
526 east 6th street #12 in  east village,10009,40.7247707:-73.9827045,Lower East Side,Claim
9949 shore road #107 in  fort hamilton,11209,40.6128755:-74.03621849999999,Southwest Brooklyn,No Claim
149 east 72nd street #4r in lenox hill,10021,40.770455:-73.961636,Upper East Side,No Claim
413 east 9th street #g3 in east village ,10009,40.7280199:-73.9840404,Lower East Side,Claim
43-32 41st street #a2 in sunnyside,11104,40.7445441:-73.9233816,Northwest Queens,No Claim
40-35 hampton street #3h in elmhurst,11373,40.74672:-73.881485,West Queens,No Claim
28-42 29th street #3f in astoria,11102,40.7683653:-73.9234214,Northwest Queens,No Claim
11-05 30 road #4h in astoria,11102,40.7712169:-73.93382369999999,Northwest Queens,No Claim
40-35 hampton street #3h in elmhurst,11373,40.74672:-73.881485,West Queens,No Claim
449 west 56th street #2b in hell's kitchen,10019,40.768347:-73.9883977,Chelsea and Clinton,Claim
317 east 75th street #3a in lenox hill ,10021,40.7704513:-73.9558923,Upper East Side,Claim
426 east 73rd street #5rw in lenox hill,10021,40.7677359:-73.9541977,Upper East Side,Claim
41-29 46th street #3h in sunnyside,11104,40.745534:-73.91784109999999,Northwest Queens,No Claim
224 west 82nd street #4 in upper west side,10024,40.785314:-73.9780229,Upper West Side,Claim
745 park avenue #1l in bedford-stuyvesant,11206,40.6981976:-73.94587899999999,Bushwick and Williamsburg,No Claim
261 jefferson avenue #1 in bedford-stuyvesant,11216,40.68380399999999:-73.94731999999999,Central Brooklyn,No Claim
392 kosciusko street #3a in stuyvesant heights,11221,40.6919232:-73.93852559999999,Bushwick and Williamsburg,Claim
219 east 85th street #4re in yorkville,10028,40.77798440000001:-73.9533178,Upper East Side,Claim
785 ocean parkway #e6 in midwood,11230,40.6293265:-73.9708088,Borough Park,Claim
43-38 42nd street #3f in sunnyside,11104,40.7432759:-73.9196324,Northwest Queens,Claim
1164 pacific street #1r in crown heights,11216,40.6777159:-73.95360099999999,Central Brooklyn,Claim
973 columbus avenue #4b in manhattan valley,10025,40.7966989:-73.9684247,Upper West Side,No Claim
343 linden street #2cc in bushwick,11237,40.6995826:-73.9136846,Bushwick and Williamsburg,Claim
1515 lexington avenue #2c in carnegie hill,10029,40.7869124:-73.949879,East Harlem,Claim
515 west 171st street #53 in washington heights,10032,40.8422898:-73.9363954,Inwood and Washington Heights,No Claim
407 west 39th street #2c in hudson yards,10018,None,Chelsea and Clinton,No Claim
1596 third avenue #2dd in carnegie hill,10128,40.7811959:-73.9525805,Upper East Side,Claim
453 seventh avenue #2 in park slope,11215,40.6627354:-73.98474949999999,Northwest Brooklyn,Claim
246 west 137th street #3f in central harlem,10030,40.8172434:-73.94474199999999,Central Harlem,No Claim
2830 west 16th street #b4 in coney island,11224,40.578233:-73.984319,Southern Brooklyn,No Claim
440 third avenue #3rr in kips bay,10016,40.7435775:-73.9799606,Gramercy Park and Murray Hill,Claim
1317 first avenue #4a in lenox hill,10021,40.7670077:-73.9569126,Upper East Side,No Claim
111 west 68th street #3b in lincoln square,10023,40.7752797:-73.98117789999999,Upper West Side,Claim
227 east fifth street #1fe in east village,10003,40.7273251:-73.9898209,Lower East Side,Claim
526 west 174th street #4h in washington heights,10033,40.8438664:-73.9352909,Inwood and Washington Heights,Claim
